coin,blockchain,time_range,whale_transaction_count,total_volume
BTC,Bitcoin,2025-03-08 19:00,7,25598.99
BTC,Bitcoin,2025-07-25 11:00,14,7751.23
ADA,Cardano,2024-05-13 07:00,5,1622.12
ADA,Cardano,2025-06-11 00:00,2,1410.37
SOL,Solana,2024-02-08 08:00,10,3658.89
ETH,Ethereum,2024-07-06 17:00,12,14525.62
ADA,Cardano,2024-06-25 22:00,3,902.86
BTC,Bitcoin,2024-08-19 15:00,15,16884.38
ETH,Ethereum,2024-07-20 03:00,13,7696.82
ETH,Ethereum,2025-02-22 07:00,9,4221.46
BTC,Bitcoin,2024-11-27 14:00,10,26687.5
ETH,Ethereum,2025-02-04 19:00,8,8601.7
BTC,Bitcoin,2025-03-05 03:00,6,15455.77
ETH,Ethereum,2024-07-26 22:00,11,11542.19
ADA,Cardano,2025-03-14 14:00,2,927.97
BTC,Bitcoin,2024-06-16 05:00,6,23086.28
ADA,Cardano,2025-05-02 17:00,4,1079.4
ETH,Ethereum,2024-03-06 21:00,16,22818.65
ADA,Cardano,2025-07-09 13:00,9,1377.13
SOL,Solana,2024-03-22 16:00,6,1908.85
ETH,Ethereum,2024-02-19 13:00,12,14343.81
ETH,Ethereum,2024-01-02 09:00,17,15625.2
SOL,Solana,2025-03-17 07:00,9,2216.28
ETH,Ethereum,2024-11-27 21:00,15,8380.23
ETH,Ethereum,2024-01-09 12:00,22,20639.23
SOL,Solana,2024-12-11 10:00,7,1510.74
ETH,Ethereum,2024-04-27 08:00,13,16309.16
SOL,Solana,2024-05-23 00:00,13,2440.7
BTC,Bitcoin,2024-04-09 09:00,13,25177.75
ADA,Cardano,2024-08-22 06:00,6,1505.26
SOL,Solana,2025-07-13 14:00,10,1717.43
SOL,Solana,2024-02-27 21:00,12,2549.35
ETH,Ethereum,2024-11-04 08:00,21,8017.11
SOL,Solana,2025-06-14 13:00,5,338.7
ETH,Ethereum,2025-04-08 03:00,12,12744.68
BTC,Bitcoin,2024-08-10 16:00,8,23140.46
BTC,Bitcoin,2024-07-21 01:00,10,20788.99
BTC,Bitcoin,2024-01-03 14:00,12,38329.14
ETH,Ethereum,2024-01-09 17:00,11,15112.77
SOL,Solana,2024-10-15 00:00,11,2353.65
SOL,Solana,2024-09-22 15:00,7,1721.19
ADA,Cardano,2024-02-04 02:00,3,942.84
ETH,Ethereum,2025-07-03 12:00,18,693.93
ETH,Ethereum,2024-03-21 10:00,13,13954.85
ADA,Cardano,2024-06-14 16:00,4,1408.24
SOL,Solana,2024-03-17 21:00,4,2066.11
SOL,Solana,2024-09-02 17:00,9,1979.02
BTC,Bitcoin,2025-03-02 18:00,12,23557.43
SOL,Solana,2024-12-25 23:00,3,3671.96
ADA,Cardano,2024-10-13 22:00,9,1517.83
SOL,Solana,2025-03-01 10:00,7,2412.54
BTC,Bitcoin,2025-04-30 10:00,12,11456.18
BTC,Bitcoin,2024-11-26 10:00,3,16747.59
BTC,Bitcoin,2024-12-06 23:00,2,20039.32
SOL,Solana,2025-04-28 07:00,13,3178.83
ADA,Cardano,2024-12-28 14:00,2,1056.1
SOL,Solana,2024-05-03 05:00,4,3801.14
ADA,Cardano,2024-02-14 11:00,3,819.25
ADA,Cardano,2024-04-01 16:00,8,1118.49
BTC,Bitcoin,2024-11-05 01:00,13,16907.42
BTC,Bitcoin,2024-10-21 15:00,14,21957.61
SOL,Solana,2024-03-18 08:00,11,4964.48
SOL,Solana,2024-11-26 04:00,8,2212.88
ETH,Ethereum,2025-01-29 18:00,17,1723.89
ETH,Ethereum,2024-12-12 08:00,14,23651.51
ETH,Ethereum,2024-02-06 15:00,13,8476.19
ETH,Ethereum,2025-05-20 13:00,14,19577.37
BTC,Bitcoin,2025-07-20 03:00,8,26422.43
ETH,Ethereum,2024-05-15 08:00,18,8536.77
ADA,Cardano,2024-06-13 08:00,3,1976.24
ETH,Ethereum,2024-06-01 18:00,13,13356.33
SOL,Solana,2024-05-13 06:00,7,4266.82
ETH,Ethereum,2025-05-10 11:00,10,8368.1
ETH,Ethereum,2024-11-05 21:00,9,15050.53
ETH,Ethereum,2024-02-07 15:00,19,5023.96
SOL,Solana,2025-04-25 10:00,2,2354.47
BTC,Bitcoin,2025-07-21 10:00,14,13635.45
BTC,Bitcoin,2025-02-06 15:00,10,24714.8
